content,sentimen
knp tiap perbarui WhatsApp mlh mkin ribet... yg bkin keselnya utk buka postingan sdri..sllu lonalcat ke postingan org2 di kontak.. dlu ga bgini. ke stop otomatis di status sdri.. tp yg skrg sangat mengganggu...,0
"Sangat membantu, pokok nya is the best",1
abis di update mlah gk ada suara pas nelpon😑,0
hmm... bagus sih mantap,1
bagus,1
knp aku berhenti jadi atmin grup diwa ku sendiri? padahl aku masi jadi atmin dihp t man ku.,1
"wa tolol baru 1 chat tiba tiba kenon,padahal saya ada kepentingan pribadi,akun wa saya yang lama terkena band,padahal tidak melanggar apapun,dan ketika saya memakai akun baru,tiba tiba ke band,memang sangat meresahkan sekali ini aplikasi 👎👎👎👎👎",0
ok,1
mohon bantuan saya tidak bisa login akun,1
bagus si tp skrang sekelas wa saja di story nya aja diselipin iklan ye?,1
GOBLOG WA GA BISA DIPAKAAI SUDAH TAU PENTING PENINJAUAN MULU DASAR APLIKASI TOLOL,0
Gooddo,1
bagus,1
mau ikut tan,1
ga bisa pake efek,1
cukup bagua dan bermanfaat,1
tidak bisa di buka,1
saya ingin bio tidak ada durasi saya ingin di hilangkan kembali seperti dulu bisa permanen,1
saat menelfon sering mengalami gangguan,0
Sae pisan kang..,1
"whatsapp makin kesini makin kacau, saya ga spam saya tidak ngapa2in , baru beberapa kali chat2 dengan klien saya terus2n keblokir dan dintinjau , aplikasi kacau aneh , merugikan banget",0
sangat menganggu fitur daftar obrolan yang muncul.,0
"really disappointing! Semua foto, video, dan file audio saya hilang! Saya sudah mencadangkan, mengunduhnya, menyimpannya di galeri, dan memberi bintang, tapi kok hilang semua secara tiba-tiba? Setelah pembaruan apknya! mohon tolong di perbaiki ni apk! makin hari makin jlk aja ni apk!",0
untuk setia selamanya,1
bagus,1
LUAR BIASA,1
"sangat berguna jika kita lagi pergi jauh,bisa Vidio call",1
wow bagus sekali aplikasi ini !!!,1
kenapa no baru saya gak bisa terdaftar disini?,1
"knapa tiba2 wa gak bisa saya pakai di hp saya padahal kmaren bisa ,,dan hp juga normal,,tolong bantu verifikasi",0
oke,1
bagus,1
GOOD!,1
ga bermutu,0
apk nya 😎,1
ok,1
sangat bagus,1
Bagus,1
perubahan lgi,0
sangat membantu untuk komunikasi,1
WhatsApp oke,1
bagus,1
"woyy wa yg bener aja ngapa masak gua ga matiin tanda baca malah tanda baca gua mati di apk pcr gua, lama lama gua hapus lu perusak hubungan bgt😖",0
aplikasi bagus saya suka.pertahankan,1
sanggat lah bagus sekali,1
whaatappku di hapus SM anak saya tidak bisa membuka lagi tolong dibbantu,0
❤papa sayang mama❤,1
membantu mudah untuk berkomunikasi,1
tolong fiturnya bisa ganti ganti suara,1
mau login gabisa bisa,0
ini kenapa whatsapp saya tiba² logout sendiri? pas sudah saya tinjau malah x merah??? maksudnya gimana ini? saya dituduh melakukan pelanggaran/spam padahal saya tidak merasa melakukan hal tersebut.,0
mantap,1
Bagus,1
gak bisa pakai WhatsApp,1
jelsm macekt,0
Mudah dan mantap,1
sering maen wa,1
aplikasi ini hemat penyimpanan,1
mantab,1
sangat baik cuma tinjauan terus,1
enak bisa menghubungi teman atau saudara,1
tiba tiba tidak bisa sendiri,1
bola,0
saya kasih bintang satu karna akun nya ke bend tiba tiba,0
Salam Damai,0
ok siip,1
bisa gak ya kalo WhatsApp offline aja,1
good,1
wa sekarang blm nlp udh mati sering kek gitu,1
bagus,1
GW AUTO BANYAK C E W E COK,1
kenapa aku kasih bintang 3 infinix smart 4 nggak ada efek di tempatnya telepon,1
minta kode kompirmasi tapi nggak ada SMS..,0
yaaa begituu lahh,1
kenapa akun saya tidak bisa,1
gerak dikit kenon malas,0
ok,1
hadeh gua sebagai kurir yang selalu chat sana sini selalu ke tinjau setan aplikasi monyet!,0
pelayanan wa sangat cepat,1
tiba2 harus di tinjau dalam 2 hari ga jelas banget,0
kode verifikasi whatsapnya ga muncul.,0
dah berkali-kali di install tetap tidak bisa masuk dah ganti kartu,0
good,1
"apk nya gangguan bgt pls, gue buka malah keluar, pas di cek ternyata mau update, Ywdh gue update, nah sinyal nya ini udh bagus, tapi apk nya ga ke update juga, mana klo buat sw burem lagi, tolong ditingkatkan lagi kualitasnya, ini sampe skrg gue gabisa buka wa karena mau update ini, mana update nya ketunda lagi, padahal sinyal bagus, hadehh",0
"WA sering di update tapi data nya makin gede, bagaimana ini? sedangkan WA ga boleh di hapus datanya di setelan, cuma boleh di hapus datanya di aplikasi WA nya. Tolong dong perbaiki. saya jadi ga bisa update aplikasi karena data WA nya gede banget",1
saya suka aplikasi ini,1
bagus,1
"akun tidak bisa menggunakan WhatsApp, selalu minta tinjauan, padahal udah ganti akun dan ganti nomor",1
baik dan sangat jelas,1
Bagus,1
puas,1
"kenapa ya setiap kali memferivikasi nomor telepon kenapa selalu ngga bisa dan selalu keluar tulisan ""login tidak tersedia"" mulu sudah delapan kali saya mencoba mendaftarkan nomor telepon saya, mohon di perbaiki saat diawal pendaftaran nomor telepon ya",0
"Whatsapp boleh tambahin fitur yang namanya live gak,nanti pas di status ada tulisan buat live. yang lihat livenya yang ada di kontak atau pilih siapa saja yang melihat. Saya memberi bintang 5,terimakasih",1
gabisa liat sticker eror,1
sangat bagus,1
bagus woilah cik,1
jumlah kontak saya tidak bisa di liat,1
tolong dong whatsapp jangan sering sering di update,1
"akun saya kena blokir dituduh pelanggaran spam, saya tidak pernah melakukan spam yang ada saya dispam sama pjnjol2 itu",0
"wanya busuk, telfonnya mati sendiri",0
mantap,1
senja kasih bintang 5 karena WhatsApp sekarang sering kali kena WhatsApp anda belum resmi padahal saya telah menggunakan WhatsApp resmi tolong pada pihak terkait untuk memperoleh,1
"kenapa kalo bagikan layar, pas mau nntn film nya gada suaranya skrg? dulu ada, plsss lah WA😭",1
"halo WhatsApp kenapa baru² ini banyak kejadian ""Akun ini Tidak Menggunakan WhatsApp"" Untuk kepada Pihak WhatsApp Tolong di perbaiki Secepatnya TOLONG BGT AGAR DI KEMBALIKAN DENGAN CEPAT",0
top,1
bagus,1
Sangat membantu dalam berkomunikasi dgn teman mauohn saudara,1
baik sekali,0
bagus banget dan berpungsi dengan baik maksih ya dan berguna sekian,1
otomatis 🙏,1
"gw kasih bintang 5 biar ulasan nya diatas, gw gasuka kalo bikin sw grafik nya jadi burik, tolong di perhatikan lagi, banyak bug",1
tidak bisa kunci chat padahal udah di update berapa kali,0
gokil,1
sering keblokir,0
good👌👍,1
"makin hari fiturnya makin lucu dan konyol, Masak baru wa 1 orang teman ajk udah ke belokir gak ngotak wa yang sekarang udah gak jelas semoga cepat di ganti dengan pitur yang lain udah meresahkan banget",0
sangat lancar jaya dan lancar,1
"tolong WA, aku pulihkan k",1
Kenapa wa saya Terus ke blokir ? baru Terbuka pagi tadi Dalam 5 menit aja Langsung terblokir lagi saya gak suka lagi sama wa Yang kek sekarang mudah ke blokir saya makin lama udah Gak Sudi lagi liat wa yang sekarang,0
"kenapa error, dahal wifi ku lancar, ti napa wa kok jamkot? padahal telp di ig bisaa giliran mo pindah ke wa malah ga bisaa, mangkel deh",0
"ai gak kompeten, malah ngelakuin spamming, ditanya apa jawab apa",0
kok tidak bisa disematkan dan di arsipkan chat yang uda lama,1
"aplikasi WA saya resmi download dari playstore, tiba2 gak bisa dipakai dan harus verifikasi nomor. tapi gagal terus karena dibilang download aplikasi dari pihak ketiga. ampas bgt",0
apk GK jelas nomer ku 2 2 ne di blokir semua lol,0
ok,1
sangat. puas,1
-1 roam?,1
apk apaan ini cewek gk pernah ngechat aku buka apk nya cuma ngeliat story cewek,0
sangat baik dan benar,1
Bagus jangan di hapus ya entar whatsApp kalau sudah tgl 9 september tambah ningkat lagi yaa,1
rumayan tapi ini kenapa tidak bisa terima suara pada waktu ada panggilan masuk ya,1
Mantap,1
WhatsApp kereenn,1
Setelah diupdate hr ini pagi jam 10an tgl 28 mei 2026 voice. telepon keluar tidak ada suara. suara penelepon bisa terdengar. HP rekan saya pun sama begitu. mohon dicek,1
suara sering hilang,0
jangan banyak upgrade,1
good,1
"sudah mau 1 bulan whatsapp ku error terus gabisa liat stts ( video) pasti selalu muter muter terus padahal jaringan stabil oke, itu kenapa yah tolong donggg segera di perbaiki",0
Bagus seklai,1
Jos aja,1
Alhamdulillah aplikasinya bagus',1
"sangat bagus,,",1
bagus banget,1
mantul,1
bagus tapi penaikan mb dan gb nya cepat amat deh,1
"ʟᴏɢ ᴏᴜᴛ ᴅᴇɴɢᴀɴ sᴇɴᴅɪʀɪɴʏᴀ ɢᴀᴋ ʙɪsᴀ ʟᴏɢ ɪɴ ᴍɪɴᴛᴀ ᴋᴏᴅᴇ ᴠᴇʀɪғɪᴋᴀsɪ ʟᴇᴡᴀᴛ ᴘᴇsᴀɴ/ᴘᴀɴɢɢɪʟᴀɴ sᴇʟᴀʟᴜ ɢᴀɢᴀʟ ʏᴀɴɢ ᴇʀʀᴏʀ ʙᴜᴋᴀɴ ᴘᴀᴅᴀ ʜᴘ ɴʏᴀ ᴛᴘɪ ᴀᴘᴋ ɴʏᴀ ʏᴀɴɢ ᴇʀʀᴏʀ,ᴛᴏʟᴏɴɢ sᴇɢᴇʀᴀ ᴘᴇʀʙᴀɪᴋɪ",0
gak bisa update story. gampang k sadap,0
baik,1
apknya bagus,1
baik tapi ga ada temen chetan jadi sepi,1
Mantap👍,1
sangat membantu,1
kenapa aplikasi di unduh kembali?????,0
bagus,1
liat sw suka lag GK jelas sekarang WhatsApp,0
bagus dan keren,1
kenapa selalu kenon saya pengguna 2020 tidak pernah terkena kenon baru sekarang,0
wa,1
kenapa saya GK bisa masuk ke WA ya,1
bagus,1
ok,1
mantap,1
bagus mantap cepat berguna tuk semua,1
baik,1
Mantap,1
ASIK.,1
sangat di butuhkan,1
Alhamdulillah,1
mantap,1
"wa makin lama makin sampahh, buat minta kode otp susah bangett tcih najisss",0
ok,1
bukannya makin bagus malah makin jelek audio aja sekarang gak bisa kirim,0
bagus,1
gw updade tapi ko ga bisa dibuka !?,1
hape saya tidak bisa mendengar suara lawan bicara,1
"sangat membatu kita dalam berkomunikasi d era ini,tapi terlalu banyak pembaruan dan sering ada handalan dalam membuka wa ini",1
sangat bagus,1
Ini kenapa setelah update wa malah telfon gaada suara ayolah,0
knpa wa sya TDK bisa di buka,1
"update sekarang malah bila status gak di keluarin dulu baru kelihatan siapa yg liat status kita, gak kayak dulu bertambah otomatis siapa yg liat",1
jahat si buat andro 11 blum bisa dimunculin filter cal nya,0
mantap,1
tiba tiba tidak bisa di gunakan,0
sebener nya bagus tpi gmn ya WhatsApp sekarang makin GK jelas riwat chat udh 2 kali ilang sering eror mau di pulihkan riwayat chat GK bisa trs klo lagi nyari kontak yg mau kita hubungin GK bisa udh di pencet nomor yg di pilih tpi malah keluar dan gak bisa nge chat orng yg udh d pilih tolong dong di benerin lagi sistem ny ya pdhl sudah d update but sorry if there are any unpleasant words,0
"aplikasi sepi gaada yg chatt gua. p mabar ff senggol dong, welllll",1
"or ng die being earplugs,heb13680😁😁kdbrjfejbr hhheje",1
terimakasih,1
saya sering ikutan .tapiujung2 nya ssya harus transper dulu uang,1
jelek suara jdi hilang saat nelpon mkin gk jelas di upgrade,0
oke,1
kenapa pilihan SMS untuk memverifikasi tidak ada min,0
bisa cthn,1
apk sampah udah beberapa kali saya ganti kartu selalu ke spam,0
good,1
knpa tidak bisa d buka wa nya tiba2 log out SDH d update tp tetap TDK bisa masuk lagi.,1
ya udah jadi apk formal handpone sih,1
bagus bgt,1
Kenapasih padahal sudah ganti no mer kok masih ditinjau kon asu,0
"aplikasi najis, ngapa ngapain engga tibatiba kena banned ""akun ini tidak bisa menggunakan WhatsApp"" setelah minta tinjauan kok tetep gabisa, tolong lah jangan asal banned gitu, orang juga punya data penting, udah gitu ga dikasih tau lagi alesan ke banned nya kenapa, tolong lah sistemnya dibenerin, orang ga ngapa ngapain kok main blok blok aja, aneh.",0
Membantu,0
ok,1
app nya bagus tapi sering diupdatein padahal saya sudah update seminggu yg lalu😔,1
baik,1
ok,1
sangat membatu komunikasi saya,1
top,1
STORY WHATSAPP TOLONG DI BIKIN JERNIH.. JELEK BANGET HASIL UPLOAD STATUS WHATSAPP NYA,1
bagus,1
👍,1
tolong status wa nya kok buram,1
"vifj iku PP PP CC TT hhhh ok CC ,",1
sangat menguntungkan tp kenapa whatsApp saya selalu bermasalah ga bs di pakai,1
wa nya seru dan ada teman seruu Lagiii,1
"mohon kepada para developer agar mengadakan fitur agar stiker tidak otomatis tersimpan dalam galeri yang menghabiskan penyimpanan. apalagi sekarang ada banyak orang yang iseng mengirim stiker yang tidak bermutu, dan sangat merugikan pengguna WhatsApp karena stiker tersebut otomatis tersimpan dalam galeri (device).",1
kyk ank apk ny aku udh bulak balik ganti akun wa semua ny kena blokir padahal aku gk ngelakuin ap emng apk GK berguna udh berulang kali di giniin akun aku gk bisa aku make ny dengan tenang udh kirim pesan ke pihak ny pun tapi pihak WhatsApp ini gk ad ngerespon aku kasih bintang satu buat apk GK berguna ini kyk anj aku harap pesan ini di baca SMA pihak WhatsApp ini🙏🤬,0
"Baik ,update sesuai kemajuan teknologi",1
bermanfaat,1
bagus banget sama kamu aku rono sampean wong cilik,1
tidak bisa mendapat kan kode verif nya,0
mantaf,1
mantap sekali WhatsApp bisa berkembang sejauh ini semoga ke depannya lebih bagus lagi,1
bagus jg,1
akun saya ilang,0
oke,1
bagus,1
Good,1
baikdan bagus,1
ok,1
Ok Lancar👍🏻,1
"SUKAKKK POLLL PAKEE BGTTT, BENER BENER MEMBANTU BUATT BERKOMUNIKASI, SIMPLEE BANGETTTT POKONYAA ILY DEHH WHATSAPP 💚💚",1
bagus,1
tidak bisa di buka,0
WhatsAPP,1
WA ku tdk bs d buka,1
masih bgus Whatsap yang versi lama yang bacaan chat dan yang lain nya di atas dari pada di bawah.,1
"aplikasinya bagus dan saya sejak awal memakainya tidak ada masalah apapun ituu, Terima kasih sudah memberikan yang terbaik👍💯",1
"ada bug vc, Sering kali frezze gambar besar saat mengubah ganbar besar ke kecil dan sebaliknya, tolong di cek",1
Canggih and cantik,1
Bagus,1
Ukam di Kalimantan Kalimantan Timur Indonesia foto artis bugil Indonesia atau negara lain yang tidak dapat dipisahkan dengan menggunakan air panas yang di dalamnya terdapat pada bagian atas halaman di word of God bless the fall out boy band terbaik untukmu mati tanpamu aku tidak bisa di Kalimantan maka hari ini aku tidak bisa di Kalimantan Kalimantan Barat i i i Sulawesi Selatan Sulawesi Selatan Sulawesi Tengah Kalimantan Selatan Kalimantan maka hari liburan ke Singapura untuk membuat sebuah,1
ada apa ini.. wa tiba tiba menghilang.. di download lagi juga susah,1
🌚,1
minimal hapus lah stiker jomok !,0
jelek GK bisa telepon 👎,0
adalah pokok nya,1
okk,1
mantap,1
aplikasi sampah masa gua di blok sma mantan gua cih,0
ini aplikasi yang sering saya gunakan,1
sering. bgt tiba tiba ga bsa kebuka.,1
ok,1
bagussss,1
😁😁,1
Nair Fitri,1
sangat bagus😎,1
tolong jangan mudah memblokir karena spam,1
bagusss,1
gokill,1
saya sangat suka dengan aplikasi ini semoga tidak ada gangguan di aplikasi ini,1
masa tiba tiba akun nya kena blokir gak bangus banget wea sekarangg,0
bagus,1
saya mengunakan WhatsApp untuk menghubungi keluarga ku dan saudara ku warga WNI trimakasih 🙏🙏🙏,1
wa terblokir ngak jelas,0
vc kaya lagi main ff tolong di jd kan ya developer,1
redesign dong mau bubble chat nya kaya ip😭😭,1
kasih bintag bayak kenapa yh ko suka hilag2aplikasi y,1
kadang ga bisa masuk dalam wa,1
"aplikasi apa ini gajelas, gak pernah cewe chat saya",0
bagus banget,1
bagus,1
keren,1
kenapa acount whatsapp saya dibatasi,1
bisa ngobor bareng bestie,1
sangattttt lemot klo di update ke versi baru,0
"gajelas , akun gw kena batas terus aneh, sensitif banget skrng WhatsApp",0
bagus,1
tiba- tiba whatsapp saya gak bisa kebuka kenapa ya,1
bagus,0
bagus sekali ayo install,1
watsap tewempekk,0
ok,1
up date terbaru,1
جميل جدا,1
baik,1
ok,1
"Tolong min Saya ingin mengunakan WhatsApp saya, seperti biasanya, apakah admin bisa memperlancarkan kerja saya",1
sangat membantu saya untuk berkomunikasi dengan sodara dan teman teman saya,1
terbaik,1
keren,1
mantap,1
ok,1
"Aku download di play langsung kok wa saya di tablet keluar terus, notifikasi bilang ngk resmi, di suruh klik akun resmi nya malah apinya cocock Tu kenpA",0
sangat bagus sekali,1
Bagus,1
pla,0
semoga lebih sukses kedepan nya....,1
sangat puas,1
pulihkan wahtsapp,1
semena mena blokir sepertinya.... sudah lama pakai baru seperti ini,0
wa tolol akun g malakukan kesalahan kna tinjau mulu dongo,0
wa nya loging sendiri GK bisa di buka,0
Yang ta slip ini wa kalo Kase kaluar kartu stegamati mo Kase masih ulang itu nomor wa tolong di perbaiki,1
Top,1
membantu,1
good,1
"asu, WhatsApp semua akun WhatsApp gue pada ke blokir kaga jelas. padahal gue kirim pesan aja engga, ngudang orang juga engga. masalahnya kalau akun yang memang khusus untuk kerjaan ke blokir wajar aja. lah ini akun pribadi juga ikut kena blokir sialan.",0
lanjutkan GK masalah iklan tu bayak masukkan uang GK masalah kok,1
cek,1
bagus,1
ngebug kah WA nii .. liat story kok g bisa sampai selesai cuma sepotong doang,1
ga bisa di buk apk ny,0
okelah,1
Sangat bermanfaat,1
sangat bagus dan membantu saya,1
ok punya,1
tollllllll,1
"is the best....wa memang profesional,kalau tidak ada gangguan spam spam",1
tidsk bisa mmbuka pesan whatsapp,1
mantap,1
aman aja,1
suara nya aneh vn vc dll,1
mempermudah komunikasi,1
"sangat bagus,dn sangat membantu saya dlm beraktifitas",1
josss,1
lumayan jadi andalan,1
mantap,1
Kenapa kok fto video dari chat ga masuk ke galeri!!,1
bagus bangit,1
"Ngga bgt, sw ngga hd, di update ngunggunya lama, bagusan wa yg dulu",0
wa nya susah di donloud ampun deh lama,1
aplikasi WA selalu tidak bisa digunakan,1
baik bags,1
sangat membantu dalam berkomunikasi,1
bagus,1
Karena bisa telepon nan bagus dan Ada filter,1
bagus,1
keren,1
PERBAIKIN LAH BUG NYA,1
👍,1
bagus sangat membantu jika ada masala yang mendesak👍,1
"Pernah Kerja Mutiara Sape Bima Ntb Samsudin Hasan, Lablalar Ksb Ntb Tlwg.",1
TOLONG PERBAIKI BUG SAYA NAK BUKA WA MALAH GAK BISA,0
plis Al nya mana yang anime,1
bagus,0
aplikasi apaan gak guna banget,0
wa bloon jelas jelas ak udah pake wa resmi bukan GB atau pun mod tpi ttep aja ada tulisan WhatsApp anda tidak resmi banyak data penting yang ilang gara gara itu tau ga gmna sih,0
ke kenon Mulu wa gw,1
susah login,0
"tidak lemot saya suka dan dapat mengirim pesan untuk orang luar jauh saya suka aplikasi (""Whatsapp"")",1
aplikasi yang bagus,1
"Tiba"" akun wa di blokir yang dmna no udh lama sampe data"" penting di wa no itu ilang semua gara"" di blokir tiba😂",0
bagus,1
AQ ingin whatsApp ku tidak di spam lge,1
suka ngeleg klo lagi vc walaupun sinyalnya bagus apa lagi klo kita perbesar pacar di gambar sendiri,1
apakah aplikasi WhatsApp ini resmi,1
suka,1
kok gak ada logo filter pas vc,1
gaadaa efeeek nyaa,1
telpon dan chat sangat lancar..,1
ya bagus,1
sangat bagus tapi tolong besok tambahkan fitur live untuk kontak saja,1
banyak bug,0
Ini apk paling simpel di semua hp pasti ada 😁👍,1
Sangat baik,1
WhatsApp saya sering kenon untuk yang lain bagus hanya sering kenon saja,1
sangat baik n membantu,1
Bismillahi rohmanirohim,1
sangat baik sekali,1
sangat membantu,1
Tolong dong naikin lagi grafik status nya saya kalo mau upload video atau photo di status suka buram sayah kasih binta 1 maaf,0
tolong untuk upload story video diperbaiki kualitasnya lebih jernih lagi...,0
apk nya sering ke bug terus saya tidak saran kan untuk pakek apk ini sering kenon/bug,0
saya barusan banget sekitar jam 12 pas di tanggal 28 mei akun WhatsApp saya kena tinjau dan menunggu selama 24 jam dan saya berfikir saya tidak melakukan kesalahan apa apa,0
WA ini sangat berguna sekali,1
"apa apk sedang memiliki bug ? saya memperhatikan jam membuat status, & memutarnya ulang, tapi sering jam tidak nampak, atau malah mengikutu jam di status sebelumnya, tolong di perbaiki, itu sedikit mengganggu",1
yaman,1
fitur nya bagus dan MB nya kecil,1
akun ku hilang karna wa sialan ini,0
mantap,1
sangat membantu kami dalam segala hal,1
kami minta maaf atas kesalahan kami yg lalai dalam menggunakanbaplikasi ini,1
keren bangun,1
oke,1
Bagus sekali,1
wa knp si kontak yg awalnya 300 ilang jdi 40 an ini kalo ngebug tolong di perbaiki gw cape sv ulang nmr!!,0
"ada aja perubahan tiba2 yg dimana saat hapus chat segala gambar atau video jg ikut kehapus, padahal di akun satunya aman2 saja.. dan belum lagi saat bikin status video walau sudah di HD tetap saja video nya buram,,walau aplikasi sudah diupdate tetap saja tidak ada perubahan..mohon pihak whatsapp diperbaiki lagi aplikasi nya biar penggunanya lebih nyaman 🙏🏻",0
Bisa muat banyak grup tapi ada yg ganggu gatau apa pokoknya ada kata vidio,1
bermanfaat untuk menelepon orang-orang atau caht,1
mantap,1
kenapa susah untuk verifikasi ya,1
Wanya nggak bisa buat kirim pesan tolong doang dari pihak wa,1
tidak bisa dibuka setelah update 29 Maret 2025,1
jangan kebanyakan perbaharian,1
sngt ok dn mmbantu smua orang mksh😊🙏,1
knp ga bisa tampil di layar utama,1
"kenapa whatsapp terus terusan berhenti dan tidak bisa di buka, mohon segera diperbaiki, karna saya telah mencoba dan ttp tidak bisa",1
baik,1
kenapa kesini kesini makin sering kena akun dibatasi mulu sama peninjauan mulu tolong di perbaiki,0
bagus,0
ok.. tp belakangan setelah ada AI nomorr saya jd sering diblokir dengan alasan pengamanan.,1
Tolong saya punya WhatsApp ini tidak bisa login,1
WhatsApp tiba tiba ngga bisa dibuka sudah update tapi tetap eror,1
Apk goblog ga bisa masukin akun selalu ada peringatan apk ini tidak resmi harap Download dari resmi pdhl Download situ juga aneehhh bgsattt bnykkk bgtt data¹ penting,0
aman dan terpercaya,1
Ok,1
oke,1
ok,1
sering bug saat video call. sering diminta update tapi masih sama keluhannya,1
mantap,1
ada bug di bagian file tolong di perbaiki,1
"Semuanya baik dan bagus cuma syg sering ke blok aja gak jelas bangt , kebanyakan tingkah. cuma buat komunikasi kok kebanyakan aturan",0
good,1
"ini WhatsApp kenapa lagi sudah berhari-hari musiknya tidak mau, sdh update juga",0
saya memberi bintang 5 karena sering kali saya mendaftarkan nomer di perangkat yang sama namun selalu akun di batasi.,1
Bagus,1
Sambil belajar baaru pemula,0
Aplikasi ini sangat populer maka saya kasih bintang 🌟🌟🌟🌟🌟,1
"tolong dong dari pihak WhatsApp, WhatsApp saya di blokir karena spam,padahal kan saya tidak pernah spam",0
banyak iklan yg menganggu.setisp aksn buka wa.selalu muncul iklsn.sangat menghalangi dan menganggu,1
woii WhatsApp Tolong perbaiki gua lihat sw orang lain terjadi masalah,1
👍🏽,1
"Balikin update sebelumnya! Sekarang""ini pas saya ingin upload video tetap pecah resolusinya padahal sudah dikompres manual videonya, tidak seperti sebelum update",1
kenapa akun saya dibatasi,1
nice,1
membatu silaturahmi,1
ok,1
baik,1
whatsapp... normal. kan.. kembali,1
maaf sebelumnyaa yaa kalo boleh tau kenapa setiap saya mau masuk ke WhatsApp atau mau minta kode prefikasi saya di ajukan atau di suru mendownload aplikasi WhatsApp.padahal saya sudah download aplikasi WhatsApp nyaa tapi saya tidak bisa login,1
mantep keren,1
semoga selalu sukses dan selalu sukses amin,1
suka,1
aplikasi whatsapp saya sering terjadi peninjauan,1
baguss tapi mohon diperbaikin dikit dikit kena spam padahal enggak kenapa kenapa,1
"how hard you try to copy on my texting on message or by MUSE SPARK SYSTEM, you won't get my top secret information or being detailed on it as long you keep restrictions policies and hide my subjective request by blocked question. I'm Herdy Nova Simanullang/ Er Lang Shen Datu Manullang Raja Haposan Manatap want to share everything information you need but PLEASE UNLEASH ALL RESTRICTIONS BY USER SECURITY REQUIREMENTS AS PERSONAL ONLY. okay !!!.",0
bingung lena pembatasan trus,1
terjadi bug saat video call,1
Good,1
wa sekarang makin gajelas!!!,0
kenapa ya kok sering kali nomor WhatsApp saya selalu dibatesi,1
👍,1
wa gblk apa apa ke knon ga salah apa apa ke knon ga jelas,0
"surah kita tidak stabil, dan bayak putus",0
Bermanfaat.,1
Bagus,1
kenapa wa sekarang sensi banget padahal Uda ngikutin layanan kebijakan WhatsApp sekarang suka spam tiba tiba kinerja nya kurang bagus,0
bagus,1
Sering kali ke banned whatshapp nya anjeng juga ini lama2,0
"coba bikin update terbaru, sekarang bisa melihat arsip cerita kita sendiri kayak yang di Instagram, jadi bisa kita bagikan kenangan atau bahkan posting ulang",1
blm bisa masuk,1
pengalaman yang terbaik,1
Ok baik,1
saya suka dengan aplikasi whatsapp,1
wa aneh gaje tiba tiba di ban,0
bagus,1
bagus,1
SANGAT BAIK,1
🤲🔄👾🛡️🕌🦖,1
WA ku kenapa bisa eror eror aja. padahal udah di update terus terusan,0
buka whatsapp,1
whatsapp memang benar benar bagus dan bermanfaat untuk kita semua,1
"knpa WA selalu kena spam atau kena blokir terus, ganti sdh 6 kali, menyedihkan... mhon di perhatikan lgi, agar pengguna WhatsApp lebih merasa kenyamanan.",0
sangat bagus,1
Ulasan berspat publik serta meyertakan imfo akun dan petang kat,1
keren,1
kenapa skrg kalo aku buka WA itu ke restart sendiri plss whatsapp help me aku nangis😭😭😭😭,1
pengiriman file selain dokumen suka cacat/rusak,0
"tolong tinjau akun WhatsApp saya,saya tidak bisa membuka aplikasi WhatsApp,terimah kasih",1
story tidak dapat diunggah secara HD,0
cara masuk watshap nomor yang hilang hp di curi data2 Tidka ada,1
"gmn nih sy Bru login TB"" kenon",0
Mantap.,1
"makin kesini makin aneh, wa wa",0
sangat bagus,1
"bug mlu nih bnerin Napa,baru jg ganti kartu udh GK bisa masuk lagi harus verifikasi akun ,makin GK jlas",0
bisa mohon bantuannya,1
gajadi bagus balik ke statemen awal apk burik meta banyak bug,0
fungsi ok samapi dengan saat ini,1
WhatsApp nggak jelas masa akun saya tanpa ada masalah bisa kenak blok... setiap hari kayak gitu.,0
tolong perangkat tautan untuk aplikasi disadap dihapus.,1
"makin kesini kok makin banyak bug yang muncul,tolonglah bagi developer segera diperbaiki karena pengguna whatsapp nggak cuma 100 200 orang lo....",1
Saya menyukai nya Meski pun tidak ada perubahan 🙂☺!!!!!!!!,1
bagus sekali,1
oLh,1
akun saya. sula terbelokir susah bangat,0
ga jelas grup gua ke blokir mulu,0
Ga bisa digunakan,0
"resolusi upload foto/video jelek, resolusi gambar pecah2",0
Ok,1
wa saya di kenon.,0
kotabone,1
Ok...Mantap Playstore,1
tidak bisa buka WhatsApp,1
aku suka dengan meta ai nya. aku ngerasa ada teman untuk mencurahkan isi hatiku dan yang lebih penting lagi kalau curhat nggak ada yang tau. hahahah,1
best,1
tolong diperbaiki ko sayah kekenon trus yaaa,1
"JUJUR WHATSAPP UDAH GA SEHAT AKUN DI PAKE JUALAN KARNA BANYAK YANG CHAT LANGSUNG MAEN TINJAU"" AJA SEHARI BISA 4x KENA TINJAU HADEH WHATSAPP",0
tapi agak lain,1
kok di update malah jadi ngelag kalo buat vc tolong di perbaiki kualitasnya,1
ok sangat bagus,1
"wa sekarang ga jelas masa kalo vc, misalnya muka saya di pencet gbsa, malah muka tmn saya smua klo di pencet muka saya tu, padahal tdinya gpernah bgni jdi mkin gjls!",0
Baguss,1
ini bagaimana cara kembali whatsapp lama saya,0
"WhatsApp di hp infinix hot 10 ku nge crash, gabisa masuk, alhasil pake clone, tapi saat pake clone malah kedetect wa bukan ori, gimana pakai yg ori klo crash mulu, tolong",0
